Inicio_del_viaje,Fin_del_viaje,Origen_lat,Origen_long,Destino_lat,Destino_long
01/12/17 06:40,01/12/17 06:54,20.679309,-103.356281,20.69311,-103.37298
01/12/17 06:40,01/12/17 06:47,20.682007,-103.372642,20.669306,-103.368312
01/12/17 06:40,01/12/17 06:55,20.65931,-103.38884,20.67914,-103.38253
01/12/17 06:40,01/12/17 06:59,20.675746,-103.354579,20.67966,-103.362224
01/12/17 06:41,01/12/17 06:47,20.681984,-103.353835,20.68465,-103.34526
01/12/17 06:41,01/12/17 06:48,20.68456,-103.35699,20.68432,-103.373252
01/12/17 06:42,01/12/17 06:51,20.69175,-103.36255,20.675631,-103.36134
01/12/17 06:42,01/12/17 06:50,20.670426,-103.373378,20.6668825,-103.3555917
01/12/17 06:42,01/12/17 06:50,20.670243,-103.346195,20.679505,-103.339753
01/12/17 06:42,01/12/17 06:49,20.68456,-103.35699,20.674721,-103.358548
01/12/17 06:43,01/12/17 06:48,20.655,-103.32186,20.657817,-103.32898
01/12/17 06:43,01/12/17 07:03,20.639042,-103.301239,20.66114,-103.3315
01/12/17 06:43,01/12/17 06:52,20.678835,-103.368045,20.66769,-103.368252
01/12/17 06:43,01/12/17 06:46,20.68348,-103.34853,20.68465,-103.34526
01/12/17 06:44,01/12/17 06:51,20.685652,-103.368215,20.681984,-103.353835
01/12/17 06:44,01/12/17 06:56,20.674636,-103.371639,20.675244,-103.347889
01/12/17 06:44,01/12/17 06:46,20.687,-103.36582,20.685652,-103.368215
01/12/17 06:44,01/12/17 07:02,20.64483,-103.31948,20.680478,-103.348377
01/12/17 06:44,01/12/17 07:02,20.64707,-103.32147,20.679505,-103.339753
01/12/17 06:44,01/12/17 06:49,20.6734,-103.357684,20.673072,-103.365055
01/12/17 06:44,01/12/17 06:49,20.6734,-103.357684,20.673072,-103.365055
01/12/17 06:45,01/12/17 06:51,20.667228,-103.366,20.674132,-103.366139
01/12/17 06:45,01/12/17 06:49,20.684187,-103.36113,20.681984,-103.353835
01/12/17 06:45,01/12/17 07:02,20.68456,-103.35699,20.67741,-103.38387
01/12/17 06:47,01/12/17 06:54,20.669628,-103.348768,20.669326,-103.362535
01/12/17 06:47,01/12/17 07:02,20.670243,-103.346195,20.696097,-103.349382
01/12/17 06:47,01/12/17 06:48,20.678714,-103.36573,20.678714,-103.36573
01/12/17 06:47,01/12/17 06:54,20.6740865,-103.3563196,20.673321,-103.370571
01/12/17 06:47,01/12/17 06:58,20.692725,-103.3516,20.68586,-103.33964
01/12/17 06:47,01/12/17 06:59,20.66468,-103.33357,20.67056,-103.357589
01/12/17 06:47,01/12/17 07:04,20.67206,-103.384,20.6740865,-103.3563196
01/12/17 06:48,01/12/17 07:03,20.63834,-103.30952,20.66468,-103.33357
01/12/17 06:48,01/12/17 06:54,20.64962,-103.32356,20.65475,-103.32719
01/12/17 06:49,01/12/17 07:00,20.67276201,-103.3976249,20.66312806,-103.4079076
01/12/17 06:49,01/12/17 06:51,20.67438,-103.38488,20.67207,-103.37997
01/12/17 06:49,01/12/17 07:02,20.686228,-103.336305,20.674721,-103.358548
01/12/17 06:49,01/12/17 07:04,20.66736,-103.3947,20.65381,-103.40134
01/12/17 06:50,01/12/17 06:55,20.6668825,-103.3555917,20.667352,-103.363338
01/12/17 06:50,01/12/17 06:57,20.68795,-103.33343,20.6822,-103.34601
01/12/17 06:50,01/12/17 07:01,20.672516,-103.349573,20.678034,-103.358466
01/12/17 06:50,01/12/17 06:56,20.678714,-103.36573,20.675746,-103.354579
01/12/17 06:50,01/12/17 06:57,20.69269,-103.37082,20.674636,-103.371639
01/12/17 06:50,01/12/17 06:56,20.678034,-103.358466,20.675244,-103.347889
01/12/17 06:50,01/12/17 06:56,20.678034,-103.358466,20.675244,-103.347889
01/12/17 06:50,01/12/17 06:58,20.681081,-103.360099,20.671778,-103.361274
01/12/17 06:50,01/12/17 06:54,20.65381,-103.40134,20.65925105,-103.4065612
01/12/17 06:50,01/12/17 06:59,20.676067,-103.367049,20.670243,-103.346195
01/12/17 06:51,01/12/17 07:00,20.68456,-103.35699,20.675244,-103.347889
01/12/17 06:51,01/12/17 06:57,20.674721,-103.358548,20.667532,-103.3595222
01/12/17 06:52,01/12/17 07:06,20.69865,-103.35519,20.68586,-103.33964
01/12/17 06:52,01/12/17 07:01,20.684187,-103.36113,20.674559,-103.352663
01/12/17 06:52,01/12/17 06:56,20.6668825,-103.3555917,20.667352,-103.363338
01/12/17 06:52,01/12/17 06:55,20.64874,-103.31939,20.65251,-103.32553
01/12/17 06:52,01/12/17 07:00,20.68765483,-103.3627938,20.682007,-103.372642
01/12/17 06:53,01/12/17 06:57,20.675421,-103.342049,20.675244,-103.347889
01/12/17 06:53,01/12/17 07:01,20.693072,-103.354209,20.69324,-103.36757
01/12/17 06:54,01/12/17 06:56,20.673756,-103.372613,20.674132,-103.366139
01/12/17 06:54,01/12/17 06:58,20.679505,-103.339753,20.6772627,-103.344908
01/12/17 06:54,01/12/17 07:05,20.667946,-103.346775,20.657817,-103.32898
01/12/17 06:54,01/12/17 07:01,20.680227,-103.350146,20.67966,-103.362224
01/12/17 06:54,01/12/17 07:00,20.675421,-103.342049,20.675244,-103.347889
01/12/17 06:54,01/12/17 07:01,20.693072,-103.354209,20.69324,-103.36757
01/12/17 06:54,01/12/17 07:08,20.669931,-103.394307,20.667623,-103.370499
01/12/17 06:54,01/12/17 07:06,20.68456,-103.35699,20.672372,-103.372584
01/12/17 06:55,01/12/17 07:06,20.671971,-103.347422,20.6822,-103.34601
01/12/17 06:55,01/12/17 06:57,20.678034,-103.358466,20.674721,-103.358548
01/12/17 06:55,01/12/17 07:04,20.65454,-103.39162,20.669931,-103.394307
01/12/17 06:56,01/12/17 07:01,20.69705,-103.36322,20.693072,-103.354209
01/12/17 06:56,01/12/17 06:59,20.675444,-103.370147,20.679296,-103.370658
01/12/17 06:56,01/12/17 07:18,20.68669,-103.37657,20.675421,-103.342049
01/12/17 06:56,01/12/17 07:06,20.687,-103.36582,20.674636,-103.371639
01/12/17 06:56,01/12/17 07:03,20.67056,-103.357589,20.67966,-103.362224
01/12/17 06:57,01/12/17 07:00,20.680478,-103.348377,20.676461,-103.350244
01/12/17 06:57,01/12/17 07:03,20.669955,-103.355032,20.678777,-103.354035
01/12/17 06:57,01/12/17 07:02,20.6707,-103.40458,20.67276201,-103.3976249
01/12/17 06:57,01/12/17 07:09,20.68985,-103.37071,20.67966,-103.362224
01/12/17 06:58,01/12/17 07:01,20.667228,-103.366,20.674132,-103.366139
01/12/17 06:58,01/12/17 07:09,20.667946,-103.346775,20.674132,-103.366139
01/12/17 06:58,01/12/17 07:02,20.682059,-103.365969,20.68432,-103.373252
01/12/17 06:59,01/12/17 07:08,20.679296,-103.370658,20.6740865,-103.3563196
01/12/17 06:59,01/12/17 07:14,20.64188,-103.30651,20.65475,-103.32719
01/12/17 06:59,01/12/17 07:08,20.67966,-103.362224,20.683191,-103.369349
01/12/17 06:59,01/12/17 07:03,20.66927,-103.37983,20.67691,-103.37993
01/12/17 07:00,01/12/17 07:17,20.667946,-103.346775,20.682007,-103.372642
01/12/17 07:00,01/12/17 07:02,20.729724,-103.398598,20.727381,-103.399976
01/12/17 07:00,01/12/17 07:08,20.681151,-103.338863,20.670243,-103.346195
01/12/17 07:00,01/12/17 07:13,20.68925,-103.3361,20.68465,-103.34526
01/12/17 07:00,01/12/17 07:10,20.671971,-103.347422,20.68465,-103.34526
01/12/17 07:01,01/12/17 07:03,20.679309,-103.356281,20.676078,-103.356458
01/12/17 07:01,01/12/17 07:13,20.65454,-103.39162,20.66736,-103.3947
01/12/17 07:01,01/12/17 07:04,20.681984,-103.353835,20.680227,-103.350146
01/12/17 07:01,01/12/17 07:14,20.6740865,-103.3563196,20.67691,-103.37993
01/12/17 07:01,01/12/17 07:11,20.684187,-103.36113,20.69865,-103.35519
01/12/17 07:01,01/12/17 07:24,20.672516,-103.349573,20.68669,-103.37657
01/12/17 07:02,01/12/17 07:08,20.63816,-103.31148,20.64483,-103.31948
01/12/17 07:02,01/12/17 07:11,20.684187,-103.36113,20.685652,-103.368215
01/12/17 07:02,01/12/17 07:17,20.681151,-103.338863,20.672372,-103.372584
01/12/17 07:02,01/12/17 07:22,20.68168,-103.38197,20.684187,-103.36113
01/12/17 07:03,01/12/17 07:29,20.66114,-103.3315,20.67438,-103.38488
01/12/17 07:03,01/12/17 07:18,20.67438,-103.38488,20.65381,-103.40134
01/12/17 07:04,01/12/17 07:14,20.69269,-103.37082,20.676628,-103.372687
01/12/17 07:04,01/12/17 07:23,20.686228,-103.336305,20.68985,-103.37071
01/12/17 07:04,01/12/17 07:17,20.66468,-103.33357,20.675746,-103.354579
01/12/17 07:05,01/12/17 07:20,20.675244,-103.347889,20.669306,-103.368312
01/12/17 07:05,01/12/17 07:07,20.66114,-103.3315,20.657817,-103.32898
01/12/17 07:05,01/12/17 07:15,20.66511,-103.39388,20.6707,-103.40458
01/12/17 07:05,01/12/17 07:18,20.693072,-103.354209,20.6972,-103.36773
01/12/17 07:05,01/12/17 07:08,20.68586,-103.33964,20.68692,-103.33467
01/12/17 07:06,01/12/17 07:18,20.68153,-103.3785,20.675746,-103.354579
01/12/17 07:06,01/12/17 07:10,20.679389,-103.35913,20.675746,-103.354579
01/12/17 07:06,01/12/17 07:14,20.678777,-103.354035,20.674132,-103.366139
01/12/17 07:07,01/12/17 07:14,20.675421,-103.342049,20.671971,-103.347422
01/12/17 07:07,01/12/17 07:08,20.64434,-103.30678,20.64188,-103.30651
01/12/17 07:07,01/12/17 07:16,20.6740865,-103.3563196,20.68348,-103.34853
01/12/17 07:07,01/12/17 07:12,20.667532,-103.3595222,20.666378,-103.34882
01/12/17 07:07,01/12/17 07:23,20.67966,-103.362224,20.66816,-103.38488
01/12/17 07:07,01/12/17 07:16,20.670362,-103.359537,20.676628,-103.372687
01/12/17 07:08,01/12/17 07:19,20.67966,-103.362224,20.671971,-103.347422
01/12/17 07:08,01/12/17 07:15,20.670362,-103.359537,20.673756,-103.372613
01/12/17 07:08,01/12/17 07:14,20.6972,-103.36773,20.6972,-103.36773
01/12/17 07:08,01/12/17 07:16,20.69705,-103.36322,20.6969715,-103.3581976
01/12/17 07:08,01/12/17 07:15,20.667623,-103.370499,20.667532,-103.3595222
01/12/17 07:08,01/12/17 07:09,20.671971,-103.347422,20.671971,-103.347422
01/12/17 07:09,01/12/17 07:15,20.64962,-103.32356,20.6383352,-103.3163317
01/12/17 07:09,01/12/17 07:27,20.67455,-103.37998,20.681984,-103.353835
01/12/17 07:09,01/12/17 07:16,20.670362,-103.359537,20.667946,-103.346775
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
